route_deviation_meters,speed_kmh,stationary_duration_sec,distance_to_next_stop_m,route_progress_pct
6.07,32.18,0.0,3896.1,29.13
12.22,48.76,0.0,3475.3,68.74
2.76,0.0,32.1,20.7,93.37
12.28,17.77,0.0,996.0,7.14
5.97,14.43,0.0,771.5,28.86
3.03,0.0,10.0,10.9,50.05
6.06,26.0,0.0,593.2,43.2
8.73,0.0,12.7,4997.9,83.6
5.86,0.0,67.1,0.7,75.63
7.07,2.34,20.5,2484.0,18.15
3.92,38.82,0.0,4731.8,67.01
4.86,20.72,0.0,4493.3,94.52
2.66,32.92,0.0,5339.0,32.33
0.0,26.73,0.0,3030.0,65.77
7.45,40.51,0.0,3477.2,75.64
7.45,0.0,90.2,0.7,92.77
8.35,23.12,0.0,955.2,97.31
4.13,61.18,0.0,5029.8,55.23
12.89,36.96,0.0,3969.7,11.75
1.91,47.06,0.0,1416.1,27.34
0.0,42.61,0.0,4848.4,38.36
3.75,0.0,66.4,5.0,27.62
0.0,5.73,27.0,4994.6,28.28
11.07,19.28,0.0,3080.4,14.86
5.12,26.62,0.0,3866.5,45.53
8.33,30.57,0.0,4121.4,23.36
4.82,0.0,32.2,24.7,81.14
10.64,0.0,56.5,1.6,3.7
5.92,0.0,31.6,19.5,87.42
5.29,17.86,0.0,933.6,65.48
9.57,27.9,0.0,3609.1,69.27
10.75,0.0,20.4,8.5,38.0
11.82,0.0,69.2,15.8,87.24
18.14,10.25,0.0,2443.4,74.68
0.58,11.86,0.0,3847.6,44.37
12.84,7.52,27.1,2679.3,29.34
7.59,32.35,0.0,4802.5,79.25
7.42,35.69,0.0,2590.2,24.08
4.84,51.65,0.0,4966.5,25.53
6.43,0.0,38.5,18.3,15.8
3.3,20.34,0.0,4664.6,25.01
2.56,39.14,0.0,3188.4,23.72
9.34,29.54,0.0,3654.4,97.79
0.43,22.65,0.0,364.8,74.47
0.0,30.53,0.0,4413.8,28.62
2.59,43.67,0.0,3759.9,62.09
1.88,0.0,19.8,26.8,62.82
2.71,12.9,0.0,586.7,44.08
2.89,32.88,0.0,3012.8,74.75
7.9,10.84,15.5,1322.0,53.09
0.0,0.0,65.2,12.4,74.66
7.68,11.82,26.7,3634.9,14.08
13.08,4.89,35.8,2706.0,36.58
5.35,22.54,0.0,4541.1,67.28
1.32,6.07,39.5,4427.0,10.83
8.44,25.69,0.0,4548.8,6.32
4.68,8.91,51.1,2488.5,13.98
4.87,38.68,0.0,3720.6,88.73
9.31,0.0,24.0,23.0,94.6
4.43,32.79,0.0,2303.8,48.93
9.77,6.59,72.5,541.8,44.34
3.6,0.0,83.3,13.7,54.45
6.75,35.69,0.0,2555.5,84.8
2.61,0.0,33.8,16.7,2.14
3.09,48.56,0.0,1218.6,56.46
8.85,26.79,0.0,4962.9,86.97
7.99,33.89,0.0,1453.5,85.84
7.67,32.05,0.0,4365.9,66.11
6.11,31.8,0.0,4105.3,32.38
7.17,9.41,0.0,2871.5,74.57
7.03,33.37,0.0,4329.4,50.38
5.6,0.0,10.0,21.7,52.15
1.98,31.6,0.0,2747.5,68.61
7.47,6.55,49.7,3183.7,60.83
7.29,44.75,0.0,2550.1,32.52
5.83,22.99,0.0,3614.9,9.92
0.0,0.0,66.0,25.7,72.08
3.67,41.19,0.0,613.5,41.6
4.03,19.99,0.0,5084.1,15.26
6.87,25.38,0.0,4089.5,9.66
1.01,0.0,48.5,12.5,56.16
7.79,30.04,0.0,3993.7,66.53
0.0,3.65,56.1,1103.1,60.04
6.31,0.0,71.8,3.6,84.54
11.02,48.3,0.0,4519.5,80.72
0.0,57.23,0.0,4579.1,64.27
7.51,26.98,0.0,1935.1,18.04
2.71,18.89,0.0,866.1,86.99
4.36,29.8,0.0,2367.1,3.07
3.22,26.31,0.0,3165.0,37.01
0.0,39.15,0.0,3739.4,5.26
10.64,17.09,0.0,1575.1,66.19
6.39,0.0,41.5,18.5,11.38
0.09,0.0,63.1,4.3,4.54
9.31,31.57,0.0,1479.8,30.14
8.11,29.86,0.0,2153.1,0.77
3.51,0.0,82.7,0.0,50.03
6.76,27.31,0.0,5074.3,1.87
1.36,0.0,45.0,10.7,70.95
6.98,35.28,0.0,4592.9,32.48
0.74,7.25,22.6,2964.9,8.81
3.27,36.3,0.0,1898.6,33.95
4.04,29.61,0.0,4992.0,51.0
4.95,8.04,0.0,1375.9,81.5
7.77,45.41,0.0,3639.7,76.02
6.67,16.13,0.0,4203.3,75.44
10.58,22.9,0.0,3472.4,63.53
4.4,0.0,49.7,7.1,6.83
7.21,19.67,0.0,2540.3,5.62
5.84,51.25,0.0,4718.6,83.17
9.71,15.16,0.0,4375.8,50.71
7.18,0.0,73.3,1.5,44.97
3.74,31.05,0.0,658.9,6.19
2.49,0.0,92.9,18.5,50.45
8.67,23.02,0.0,2113.4,43.94
5.66,21.46,0.0,4361.8,40.88
10.59,44.98,0.0,1634.4,6.59
9.37,0.0,102.3,3.7,65.66
4.08,26.71,0.0,5325.6,34.98
1.81,0.0,81.1,11.4,93.8
9.62,0.0,37.4,0.0,81.32
4.07,0.0,31.9,6.6,64.6
7.75,36.5,0.0,2725.9,18.03
15.47,50.48,0.0,646.2,13.76
9.6,0.0,65.2,13.1,83.51
6.22,23.67,0.0,976.1,37.67
6.96,0.0,14.9,5.5,16.55
7.57,0.0,40.8,17.8,23.75
1.31,0.0,69.7,19.1,30.95
1.8,0.0,128.2,5.6,36.78
5.22,41.54,0.0,5317.8,52.75
6.69,0.0,47.1,2.1,25.0
0.0,43.27,0.0,1639.3,10.26
0.0,0.0,71.7,11.8,27.28
8.68,27.19,0.0,1987.8,45.11
10.46,34.65,0.0,5470.4,23.58
15.1,34.89,0.0,3609.8,83.92
8.13,0.0,75.6,13.2,82.98
3.94,0.0,70.2,15.1,44.86
8.57,16.97,0.0,2950.0,72.72
5.2,39.87,0.0,2367.1,4.77
4.13,0.0,63.2,13.5,90.51
5.58,37.88,0.0,3420.0,24.19
9.32,27.4,0.0,5363.1,41.66
4.55,8.0,0.0,3092.4,52.61
5.45,8.0,0.0,1469.7,47.01
0.0,19.06,0.0,3492.6,78.85
11.38,0.0,56.3,17.6,73.52
6.96,23.14,0.0,2609.0,77.91
1.06,0.0,26.4,16.8,6.31
1.63,31.1,0.0,5140.2,4.38
7.11,21.16,0.0,4167.8,98.91
5.18,34.63,0.0,1892.4,35.7
0.0,45.21,0.0,4931.0,36.8
1.78,15.93,0.0,5091.3,97.37
6.11,29.3,0.0,3353.2,80.11
4.39,0.0,55.6,18.7,54.55
4.11,0.0,91.8,11.6,42.61
2.54,8.0,0.0,1582.6,87.0
17.34,9.81,47.9,1848.4,94.79
1.76,0.0,10.0,1.4,14.28
1.64,32.04,0.0,2167.4,6.72
2.24,17.39,0.0,2108.9,60.51
0.0,0.0,35.2,13.1,57.39
6.0,35.89,0.0,2794.8,73.57
3.11,26.47,0.0,2509.9,26.03
4.02,12.52,63.1,2287.6,49.12
11.45,0.0,92.2,22.9,44.51
4.44,0.0,80.9,0.0,6.49
3.79,0.0,92.0,8.7,71.18
3.97,0.0,59.3,26.4,20.1
11.42,15.29,0.0,3078.9,55.4
11.3,12.74,0.0,3981.9,8.62
20.73,32.09,0.0,5350.9,76.92
4.6,25.31,0.0,4841.0,45.0
2.67,0.0,87.0,38.7,63.98
7.14,27.84,0.0,926.3,12.42
3.23,46.93,0.0,5180.9,34.6
7.72,0.0,44.4,10.1,63.51
5.35,22.71,0.0,5184.7,53.35
5.96,27.0,0.0,4649.7,65.87
0.64,33.6,0.0,3563.9,82.52
6.22,31.32,0.0,3550.6,65.11
1.87,22.58,0.0,2707.9,62.72
15.71,0.0,57.1,18.7,68.5
1.72,35.12,0.0,3376.0,20.4
4.71,10.85,0.0,5367.0,86.08
2.47,41.2,0.0,2619.0,31.91
6.02,35.41,0.0,2174.4,29.02
6.09,54.03,0.0,1868.2,15.97
3.39,48.81,0.0,2879.5,49.83
5.69,32.42,0.0,2829.4,94.52
6.81,8.73,0.0,3288.6,5.05
6.27,37.31,0.0,4865.3,53.67
2.52,0.0,43.2,22.5,76.39
7.73,44.32,0.0,2823.0,7.35
3.77,0.0,133.8,34.9,68.04
13.38,14.93,0.0,4176.8,79.49
14.02,26.35,0.0,840.0,50.91
6.0,14.21,0.0,2883.7,47.37
7.46,49.16,0.0,4092.3,61.31
16.42,36.99,0.0,3927.2,33.64
1.65,17.84,0.0,5391.4,81.57
10.41,27.17,0.0,243.9,79.68
0.0,34.26,0.0,3219.2,96.71
0.0,0.0,76.9,27.4,58.35
7.23,24.3,0.0,270.5,68.07
6.6,6.37,52.8,2081.4,31.37
10.99,0.0,88.4,3.3,92.05
7.76,36.24,0.0,3676.0,32.5
5.04,36.81,0.0,1948.6,91.21
6.88,11.01,0.0,3843.9,64.33
7.07,38.44,0.0,1314.3,55.81
5.03,8.37,30.1,1776.6,20.73
2.65,5.78,45.1,3399.3,79.54
13.33,27.24,0.0,4444.9,95.46
4.52,48.46,0.0,2488.8,34.64
3.34,31.06,0.0,5138.3,53.86
9.6,0.0,86.3,15.7,58.68
11.95,41.72,0.0,3973.7,63.79
7.34,45.16,0.0,5117.1,77.08
6.16,39.87,0.0,1177.1,93.5
2.85,2.01,0.3,492.8,32.12
0.0,25.79,0.0,5031.4,93.67
7.84,24.97,0.0,5484.7,91.96
0.0,30.82,0.0,5100.6,96.21
11.17,0.0,61.9,23.1,10.73
5.65,0.0,36.8,4262.7,54.33
6.69,35.49,0.0,2578.1,16.25
8.55,48.05,0.0,3166.0,79.08
9.55,0.0,103.9,20.6,89.7
1.74,32.63,0.0,1847.4,66.93
8.02,31.83,0.0,5251.8,26.08
12.67,47.43,0.0,3841.0,72.29
6.42,25.72,0.0,2813.6,11.82
9.82,0.0,55.3,19.6,70.36
4.46,9.98,42.7,3751.3,21.91
7.72,17.1,0.0,3002.6,41.58
4.63,0.0,60.7,31.8,21.84
9.79,0.0,73.4,26.4,70.38
8.43,14.36,0.0,909.2,54.76
5.82,36.06,0.0,3249.0,52.03
7.81,34.75,0.0,2871.5,51.04
1.9,8.84,0.0,4005.7,5.77
7.7,29.58,0.0,344.6,81.65
0.75,58.01,0.0,472.7,6.38
5.66,1.68,53.6,3840.8,3.17
3.46,3.51,5.1,4538.5,99.29
11.43,22.14,0.0,3629.1,68.27
1.77,15.68,0.0,4030.4,17.85
4.86,40.0,0.0,3736.9,0.35
6.48,34.03,0.0,1969.3,53.19
3.3,29.08,0.0,4471.2,93.74
4.07,31.59,0.0,1212.8,76.61
5.53,14.71,0.0,362.9,3.36
2.41,0.0,61.7,22.0,40.23
10.44,0.0,70.3,21.5,28.93
0.06,25.06,0.0,1729.5,59.79
2.89,31.84,0.0,429.2,66.02
9.33,9.57,20.2,2164.6,87.97
15.39,25.05,0.0,4343.3,67.13
4.03,33.42,0.0,4173.8,37.65
7.98,21.76,0.0,4451.2,70.76
0.0,3.0,44.9,1056.5,55.73
8.23,33.03,0.0,4012.8,92.22
4.56,22.47,0.0,4817.6,26.85
1.18,27.53,0.0,2688.7,76.17
0.95,0.0,64.2,14.5,33.3
7.94,5.65,20.2,3041.8,99.96
6.39,10.36,0.0,2155.6,91.51
3.78,28.96,0.0,2785.3,35.93
10.78,8.0,0.0,5037.4,98.13
7.46,22.16,0.0,888.0,41.39
4.92,19.03,0.0,923.0,93.48
4.02,37.06,0.0,3634.9,37.98
1.93,0.0,88.3,0.0,25.73
3.58,30.43,0.0,1014.0,79.5
0.0,0.0,64.1,12.8,54.21
4.92,46.78,0.0,4227.4,84.67
3.99,32.19,0.0,149.4,84.25
12.23,16.87,0.0,3429.2,37.32
2.0,45.19,0.0,164.0,48.79
6.21,32.21,0.0,4491.0,27.47
5.9,0.0,70.0,12.4,80.62
7.55,36.31,0.0,4502.2,52.65
2.92,37.0,0.0,3151.0,40.6
6.92,10.5,12.5,3809.9,84.79
0.0,26.14,0.0,151.0,37.93
5.56,10.77,0.0,3155.6,49.99
8.83,0.0,52.7,14.5,9.54
11.65,11.51,0.0,351.4,47.55
13.65,18.41,0.0,277.7,56.35
1.98,13.04,35.4,2021.6,58.7
0.0,31.36,0.0,2201.4,16.25
13.58,0.0,60.5,9.5,33.17
5.24,2.51,55.2,4201.4,97.43
7.42,41.58,0.0,4277.2,76.9
4.87,43.92,0.0,2021.4,27.33
5.78,4.11,8.4,474.2,43.18
7.88,11.89,0.0,932.8,8.2
1.63,0.0,29.4,15.8,31.67
6.25,29.21,0.0,1111.9,35.99
8.12,27.68,0.0,2011.1,55.47
6.5,24.66,0.0,1676.0,59.8
9.52,51.18,0.0,5382.1,8.47
0.95,25.2,0.0,1726.1,16.96
7.49,18.5,0.0,2714.8,6.33
7.67,30.36,0.0,3306.6,25.17
11.6,20.15,0.0,1894.0,10.7
15.18,24.81,0.0,4503.6,80.41
9.17,0.0,74.4,21.6,97.42
7.06,8.48,51.3,3490.0,96.46
5.35,30.55,0.0,4509.1,57.59
9.88,15.2,0.0,3046.4,11.39
3.91,0.0,86.6,11.8,55.01
2.93,0.0,67.8,22.5,69.28
0.0,24.02,0.0,3656.8,49.93
3.79,0.0,128.4,28.7,78.91
2.14,38.33,0.0,3835.2,92.04
6.96,19.04,0.0,2999.3,89.55
11.89,40.45,0.0,2017.0,65.76
17.03,39.45,0.0,2257.9,67.75
10.15,0.0,54.3,14.3,1.05
10.78,18.39,0.0,2212.1,58.05
4.02,0.0,37.0,15.0,58.86
9.29,37.6,0.0,726.8,96.17
8.18,8.02,41.1,2407.0,45.53
10.43,25.75,0.0,4475.0,69.68
9.07,19.21,0.0,987.5,84.92
1.18,6.81,45.5,2821.3,24.39
6.46,9.04,21.5,194.5,18.45
2.71,20.03,0.0,3905.6,19.73
3.83,31.56,0.0,649.5,75.23
4.66,0.0,47.3,24.8,18.7
9.19,18.83,0.0,3323.6,63.91
2.84,24.23,0.0,3433.8,84.55
5.08,0.0,39.8,19.6,61.45
7.09,37.54,0.0,2858.5,30.54
11.61,24.27,0.0,3531.7,13.79
7.71,0.0,91.8,15.0,64.53
8.21,38.05,0.0,389.5,45.1
8.16,30.39,0.0,5304.7,81.52
0.0,30.58,0.0,4635.4,41.56
6.87,31.49,0.0,1677.3,76.11
3.64,28.29,0.0,4109.6,45.73
4.13,0.0,56.2,17.9,11.42
0.0,48.47,0.0,3050.3,82.26
7.65,8.41,5.8,1523.7,10.24
2.48,6.86,0.0,3889.4,81.67
10.78,20.51,0.0,3938.1,81.07
4.05,35.23,0.0,1217.5,16.6
8.09,27.1,0.0,1847.7,35.08
10.88,0.0,54.6,34.6,28.93
5.23,4.79,45.0,4962.8,96.28
0.0,0.0,72.6,9.3,12.69
9.21,0.0,22.7,1.9,67.62
6.35,13.76,0.0,4852.7,41.42
7.68,25.03,0.0,2093.0,51.56
15.24,11.17,35.5,3677.0,32.73
0.29,0.0,69.5,26.4,35.82
7.92,32.25,0.0,4573.1,42.96
9.07,17.35,0.0,1956.2,57.79
4.14,0.0,95.5,25.3,4.84
11.61,46.67,0.0,103.7,44.13
7.8,10.38,28.1,4667.0,13.19
4.1,29.97,0.0,4980.5,65.46
9.86,23.64,0.0,1364.4,39.63
11.83,0.0,88.5,15.1,70.37
6.9,47.91,0.0,3856.2,0.93
10.18,0.0,58.1,23.9,13.22
7.69,0.0,40.0,34.0,10.24
6.98,10.14,0.0,5461.9,13.31
5.49,29.7,0.0,2476.5,65.0
4.41,0.0,49.7,7.3,41.17
0.0,30.25,0.0,2173.8,10.05
0.66,7.54,47.4,467.0,31.45
1.57,20.35,0.0,3828.6,77.9
4.16,0.0,42.2,0.0,51.77
5.6,53.92,0.0,2772.4,5.46
0.05,17.78,0.0,5379.6,49.96
3.27,10.02,64.3,2863.5,93.39
3.23,11.43,0.0,4260.0,95.45
8.84,33.85,0.0,426.5,3.98
0.38,0.0,58.5,1.6,50.1
9.15,22.79,0.0,1773.5,53.66
3.85,35.31,0.0,2210.0,20.32
1.37,28.14,0.0,3872.8,83.45
4.66,0.0,69.9,16.5,84.65
0.75,34.75,0.0,4105.1,30.93
10.59,0.0,86.7,27.7,70.15
14.48,28.68,0.0,785.4,78.3
3.62,0.0,92.5,3.8,26.88
7.12,21.05,0.0,3946.5,6.39
9.9,36.16,0.0,2797.9,36.01
3.93,36.8,0.0,3199.1,10.29
6.65,0.0,89.5,19.9,4.4
3.73,46.31,0.0,4730.4,38.3
13.49,29.27,0.0,1837.7,91.39
1.84,29.36,0.0,2113.2,72.03
7.6,39.31,0.0,5399.6,90.19
12.52,3.62,38.5,4232.0,6.89
5.52,29.5,0.0,3144.6,20.07
2.8,20.66,0.0,2764.1,59.17
8.89,0.0,110.6,15.0,76.05
6.45,16.93,0.0,4836.9,23.3
12.29,2.79,2.5,3649.7,0.15
3.1,28.35,0.0,423.4,49.2
5.58,4.71,54.4,3519.2,92.13
3.09,34.63,0.0,821.0,97.46
6.91,0.0,35.7,10.6,7.48
6.26,8.33,44.8,3690.0,31.5
0.1,37.2,0.0,4311.7,27.2
7.22,36.89,0.0,2295.2,15.54
9.85,32.71,0.0,1531.0,96.46
9.31,21.22,0.0,3863.1,15.76
0.0,27.54,0.0,1440.4,83.59
7.54,25.89,0.0,5449.7,51.35
3.21,10.97,0.0,1449.2,40.44
7.96,31.19,0.0,4584.0,80.39
6.48,7.29,17.7,3170.0,13.07
3.31,25.41,0.0,217.7,81.27
9.54,22.53,0.0,4987.4,12.88
5.42,0.0,66.4,21.4,46.1
10.55,0.0,97.3,17.8,39.5
6.57,37.54,0.0,4870.5,27.99
3.8,23.86,0.0,2324.8,29.51
9.01,33.63,0.0,1177.1,13.72
0.43,0.0,54.3,23.4,80.22
0.0,0.0,32.3,11.8,35.91
2.03,5.96,29.1,4484.0,17.98
8.55,0.0,90.7,14.3,5.86
16.81,0.0,59.8,10.7,10.01
3.37,0.0,138.7,26.5,91.73
10.07,12.38,0.0,4631.8,35.48
8.4,0.0,90.0,7.8,80.62
0.0,44.62,0.0,3140.8,70.06
4.33,40.28,0.0,1768.9,98.8
2.85,30.92,0.0,2942.8,9.03
8.79,31.91,0.0,3971.5,91.79
8.02,5.72,38.8,2953.7,84.43
7.18,0.26,53.8,4712.5,86.07
5.05,27.92,0.0,950.5,10.1
8.05,10.21,27.9,912.3,79.18
2.81,0.0,39.5,918.0,78.7
11.26,43.5,0.0,5223.5,68.85
10.64,13.77,33.1,210.3,39.16
15.21,15.04,0.0,3154.0,22.09
10.2,9.84,47.1,4432.3,23.8
5.73,13.93,0.0,2511.8,70.9
0.0,38.42,0.0,683.4,24.95
7.27,26.54,0.0,4876.6,38.59
0.0,24.68,0.0,2689.2,37.87
5.47,0.0,54.3,9.5,65.1
7.89,21.73,0.0,5239.0,31.87
7.87,40.21,0.0,3054.0,73.2
10.48,0.0,78.5,12.5,61.36
6.11,7.35,27.5,551.2,16.5
8.28,47.25,0.0,4041.9,72.2
5.42,38.67,0.0,3187.6,4.96
8.15,0.0,79.4,10.9,42.76
11.66,37.25,0.0,1675.8,19.97
6.39,25.67,0.0,2741.1,84.38
9.76,0.0,44.6,13.2,9.11
3.04,0.0,79.9,8.0,26.33
6.62,30.25,0.0,562.8,6.16
0.06,45.75,0.0,3089.5,54.14
5.02,0.0,33.0,21.1,81.84
0.0,0.0,68.1,34.0,47.63
10.11,0.0,96.4,4.5,50.21
4.53,0.0,51.3,28.4,75.72
16.21,8.21,50.0,4942.0,80.85
11.62,29.71,0.0,1492.6,83.41
7.28,5.43,20.8,1417.2,38.81
8.14,33.82,0.0,2921.8,87.35
0.56,39.54,0.0,4195.2,41.44
10.27,4.72,31.5,1466.2,92.49
3.71,40.26,0.0,2722.2,38.3
9.12,32.25,0.0,3386.7,14.39
14.15,0.0,72.7,16.3,33.15
12.6,11.49,39.7,1550.1,89.7
0.0,30.97,0.0,4792.1,9.82
10.27,27.91,0.0,1554.9,82.58
4.43,23.87,0.0,4549.4,21.14
6.48,0.0,10.0,9.1,82.1
5.77,45.42,0.0,4848.4,50.68
11.88,41.38,0.0,1447.2,19.28
0.0,27.3,0.0,4546.9,91.8
2.93,32.13,0.0,2111.3,63.54
6.7,40.96,0.0,1988.7,17.76
2.13,29.88,0.0,1639.4,89.45
0.0,8.0,0.0,4728.4,16.29
1.46,28.53,0.0,208.3,67.77
10.08,0.0,115.0,16.2,76.76
5.58,29.07,0.0,4447.5,25.24
11.62,26.46,0.0,2133.0,42.38
5.94,43.45,0.0,4551.3,67.72
9.83,38.61,0.0,4653.7,66.24
2.7,16.86,0.0,683.8,29.85
11.71,28.75,0.0,1510.2,86.15
8.63,0.0,46.8,17.1,14.99
0.0,0.0,30.3,6.4,80.24
4.95,0.0,24.1,14.4,99.75
10.16,25.93,0.0,1125.5,3.53
0.97,0.0,17.2,11.2,22.24
3.76,2.85,57.1,946.6,84.54
0.0,28.81,0.0,4219.8,12.79
13.26,27.34,0.0,2018.5,67.97
7.49,0.0,65.3,6.3,30.71
3.87,52.53,0.0,4778.5,47.05
7.44,28.42,0.0,2802.6,88.94
3.52,0.0,74.2,18.3,5.41
4.28,8.0,0.0,2570.9,40.92
2.32,32.51,0.0,3507.6,71.57
1.45,39.59,0.0,4210.4,63.45
6.09,9.66,0.0,575.4,76.45
6.44,8.0,0.0,2169.9,63.35
11.92,28.59,0.0,1840.0,19.94
6.48,0.0,44.4,2.4,19.06
4.72,19.66,0.0,2171.2,12.89
9.71,49.39,0.0,1670.5,29.82
3.01,0.0,47.1,24.2,88.8
5.9,8.75,80.1,4595.1,35.93
6.87,49.16,0.0,4064.0,13.12
7.86,40.01,0.0,301.8,65.05
5.82,0.0,90.9,29.7,4.86
5.8,0.0,50.4,5.4,1.97
1.66,26.02,0.0,3854.0,15.31
4.14,46.76,0.0,1557.9,66.25
10.91,47.17,0.0,3981.3,10.49
7.43,33.74,0.0,1178.6,19.86
3.34,28.83,0.0,1694.9,70.34
3.27,30.19,0.0,1885.3,93.31
1.88,8.0,0.0,3712.7,83.52
10.04,37.71,0.0,647.0,72.36
7.41,65.0,0.0,2607.1,29.6
6.52,33.03,0.0,4428.6,29.06
5.87,24.65,0.0,347.8,75.82
4.73,0.0,46.9,2.1,35.75
