max_acceleration,min_acceleration,speed_variance,heading_variance,average_speed,sample_count
0.8109,-1.9365,0.7108,0.5472,42.4999,19.0
1.0022,-0.6837,0.2473,0.9697,48.1739,15.0
6.8556,-4.8144,12.4532,16.1185,51.8928,21.0
0.7237,-0.6099,2.104,0.2661,16.4411,20.0
0.7962,-2.2451,0.9939,1.3535,46.8449,15.0
0.9202,-2.0009,0.3981,1.1812,50.3654,21.0
1.999,-0.6485,0.7865,0.2856,46.9955,17.0
0.5496,-1.0269,1.0633,1.3997,47.0894,18.0
2.0747,-2.2838,2.6293,1.295,23.8973,22.0
2.1411,-0.7574,0.7465,1.007,30.9386,19.0
2.4338,-1.9418,1.9603,0.6295,54.246,23.0
0.5552,-0.7459,0.8575,0.8919,54.342,15.0
1.3691,-1.0429,1.0097,0.929,35.4569,21.0
0.8802,-2.4112,1.3646,0.8039,47.2604,25.0
1.9839,-1.1587,1.1562,0.1515,41.5695,20.0
1.8268,-2.2507,2.7101,0.7853,41.6757,20.0
1.0913,-2.2454,1.3193,1.4135,42.0927,17.0
1.1019,-1.4041,0.1012,0.466,32.1955,24.0
1.1445,-1.6164,2.0593,0.7912,46.7494,17.0
1.0676,-1.1723,1.8959,0.1854,53.08,18.0
0.9493,-2.1017,0.1708,0.405,34.0055,16.0
2.2723,-1.3487,2.1832,0.6068,30.9861,17.0
0.5111,-0.9981,2.3331,0.2046,32.0058,17.0
1.8918,-1.5709,1.7165,1.3803,19.8543,17.0
1.8352,-0.5242,1.8268,1.4276,50.657,24.0
2.284,-1.6465,2.7299,0.6966,21.3663,22.0
2.0036,-0.8203,0.9042,1.1776,34.3839,18.0
0.655,-1.9285,0.888,0.5136,36.6061,17.0
1.2661,-2.1944,0.7205,0.6516,28.2353,22.0
0.9137,-1.6597,2.724,0.8969,42.8209,24.0
0.5118,-1.7965,2.2851,1.2875,53.1372,21.0
1.9693,-0.9003,2.7037,0.7579,25.9174,22.0
4.6806,-4.6043,14.8734,7.4757,44.7282,17.0
1.5682,-0.6861,1.8165,1.0113,18.3579,21.0
1.4234,-2.3994,1.1994,0.3569,28.0738,21.0
2.4024,-1.6569,2.5212,0.7319,44.961,15.0
1.1999,-1.1997,2.3656,0.995,45.1693,18.0
0.5408,-2.1952,0.466,1.0207,37.5588,18.0
1.0125,-1.7622,1.8571,1.4474,43.7343,17.0
0.7162,-2.4486,1.0047,1.0322,53.3269,21.0
0.8967,-1.3158,2.5087,0.4021,42.8877,19.0
1.7008,-2.2579,2.9531,1.1848,28.8882,21.0
0.6379,-1.2049,0.1367,0.6591,34.6081,21.0
1.7712,-0.8426,2.1512,0.6815,44.3518,25.0
2.1164,-1.4237,1.5021,0.6816,44.241,19.0
0.991,-0.6308,0.9089,0.7037,45.0191,24.0
1.258,-2.4426,2.5678,0.3137,23.4848,19.0
2.2606,-1.0976,0.9012,0.0647,52.9225,16.0
1.3129,-1.3896,0.7969,0.7403,43.4737,22.0
0.6861,-2.0568,2.1062,0.494,38.2622,22.0
1.1875,-0.5067,1.6961,0.5601,33.1498,19.0
0.7413,-2.1148,0.4467,0.827,45.4876,17.0
1.9772,-1.947,1.8098,1.1523,38.8716,16.0
1.0925,-1.7782,0.9766,1.0766,20.0633,15.0
1.6067,-1.1052,0.4662,1.3093,34.6351,15.0
1.4388,-1.6191,0.6347,0.1245,52.6425,22.0
0.6307,-1.5165,1.7734,1.0454,21.0691,24.0
0.6704,-2.0036,1.7184,0.6535,38.8451,24.0
1.5451,-1.599,1.3839,1.2972,54.6013,19.0
0.6205,-0.5798,0.3878,1.156,40.0206,19.0
0.8141,-2.1524,0.3177,0.0539,33.0201,24.0
0.5653,-1.9238,0.9199,1.2964,17.8472,18.0
2.0757,-1.2499,2.0174,1.4038,32.0056,23.0
0.798,-1.9687,0.5125,0.1365,46.7051,24.0
1.6384,-1.9228,0.4606,1.0486,42.9893,19.0
1.4876,-2.3391,0.2156,0.6764,27.8929,19.0
4.1446,-4.6285,22.6288,13.8068,6.7634,25.0
1.6525,-0.9738,0.6081,0.8025,32.6892,19.0
1.6707,-1.2304,1.526,0.1823,28.9184,20.0
0.7092,-2.1784,1.2938,0.7684,41.5033,21.0
1.6002,-1.5903,1.0121,0.5187,53.8074,21.0
2.1499,-2.4977,2.6212,0.7199,17.1682,23.0
2.0129,-1.2492,2.304,0.3452,36.9688,19.0
1.8965,-2.2571,2.9221,0.9329,24.5719,17.0
0.5273,-1.684,0.7516,1.27,19.5384,16.0
0.8079,-0.6347,0.9464,1.0728,31.6196,22.0
0.9875,-1.3975,1.2124,1.3867,35.3296,17.0
1.0525,-0.92,1.3033,1.4047,35.3095,15.0
1.0971,-1.3261,2.9968,0.76,20.9438,23.0
1.1649,-0.9743,1.1939,1.4026,49.7841,18.0
0.9671,-0.9489,0.2266,1.1298,43.2091,21.0
1.8274,-0.8585,2.9444,0.7682,16.4808,23.0
1.164,-2.2993,2.5506,0.1946,51.4177,15.0
1.32,-1.1904,0.5476,0.7308,53.7681,20.0
1.295,-2.3394,1.0528,1.0278,36.3449,20.0
2.2749,-1.5241,1.6689,0.9453,24.3908,25.0
2.4949,-1.0065,1.3585,0.1927,40.3499,16.0
1.888,-0.6932,0.2334,1.2044,26.7347,20.0
0.9884,-1.6759,2.0772,0.3111,22.0028,24.0
1.7394,-2.0183,2.7472,0.2575,33.446,19.0
1.8337,-0.7022,1.4492,0.4671,36.8639,16.0
1.1911,-1.3249,1.9529,0.6652,25.0039,19.0
1.2694,-1.5336,0.7879,0.8793,37.9925,19.0
7.1502,-6.021,8.1377,17.976,71.1565,15.0
1.9903,-0.8343,2.7185,1.1748,24.2047,20.0
0.8803,-1.9987,2.2912,1.1628,42.2342,17.0
2.3068,-1.2073,0.9959,0.6892,38.183,17.0
1.0902,-1.005,0.6094,0.2416,36.5763,20.0
2.327,-0.8391,0.8452,1.2458,34.2739,19.0
1.1774,-2.2697,2.8924,0.2541,53.66,25.0
2.4599,-0.5655,2.4333,0.5804,46.6273,15.0
0.7472,-1.7628,2.2721,0.4301,30.241,25.0
0.7167,-2.0324,0.1726,1.3321,37.4563,24.0
0.6264,-0.8523,2.7372,0.4882,31.3318,17.0
3.1861,-3.0204,9.974,8.522,50.6915,21.0
1.841,-1.0137,2.8433,0.6577,44.6908,17.0
1.8098,-0.8326,1.8854,1.4116,26.1896,20.0
1.3894,-2.0278,1.1518,1.4723,29.6934,25.0
1.2963,-2.1204,0.4543,1.2796,33.1887,25.0
1.779,-0.5578,0.2467,0.5336,54.5528,24.0
2.1596,-1.3916,1.8005,1.2289,24.3199,17.0
1.692,-1.9455,2.9537,1.4819,36.6086,17.0
2.2329,-2.2364,1.1389,1.1932,38.5541,15.0
0.6048,-1.0166,1.6256,1.1312,34.0498,20.0
0.7181,-1.4923,2.8417,0.1129,46.3291,25.0
1.4161,-0.5719,0.2764,0.7445,31.0647,25.0
1.9248,-1.6129,2.7079,0.5171,20.9334,17.0
1.7662,-1.4033,1.043,1.4922,36.2223,22.0
1.3604,-0.9138,0.4318,0.9993,50.1082,23.0
0.93,-1.5969,0.7626,0.5415,33.14,21.0
1.1251,-1.875,0.8392,1.4327,42.4728,22.0
2.1635,-2.3135,0.38,1.1213,47.4708,23.0
2.4132,-1.3766,2.043,0.6457,49.9443,21.0
1.9421,-0.5632,1.8412,0.5599,38.1167,18.0
1.4644,-0.8055,1.1153,0.8566,19.5954,19.0
2.1144,-0.8097,2.9262,1.2367,39.5429,25.0
1.718,-1.1843,2.1111,0.092,25.9308,19.0
1.202,-2.1372,0.5154,1.0031,17.7834,25.0
0.6835,-1.439,1.191,0.7078,21.2964,19.0
2.0537,-1.3648,0.3464,0.1263,21.2964,24.0
3.4079,-5.7844,15.2083,14.1061,40.2056,18.0
0.7276,-1.6402,0.9214,1.0338,34.4653,25.0
0.941,-0.5311,0.2589,0.3464,52.813,17.0
1.0789,-2.26,1.5424,0.6744,20.1674,23.0
1.5005,-0.8333,2.438,0.1545,49.4706,15.0
1.4195,-2.3443,1.0079,0.6725,31.1769,25.0
0.7303,-2.4583,1.0418,1.2119,39.725,20.0
2.189,-2.0134,1.8077,0.8097,30.8307,19.0
0.9431,-0.9418,0.3215,0.9682,36.2242,18.0
1.1988,-1.0452,2.475,1.2318,24.4508,17.0
0.847,-2.1943,2.3015,0.1593,53.0517,25.0
2.0089,-0.9802,1.4018,1.39,37.5797,25.0
1.1464,-0.5581,1.0168,0.6877,33.7568,25.0
1.0493,-2.3877,1.5713,0.5001,33.0766,15.0
1.0742,-1.2107,2.9344,0.1809,38.7632,21.0
1.6086,-0.9164,2.698,0.7021,47.3926,25.0
1.71,-1.4973,2.8774,0.7033,47.4387,20.0
0.6687,-1.2077,0.2135,1.0761,54.6394,23.0
0.8175,-1.7543,0.9204,0.6427,28.5347,24.0
1.7618,-1.8307,1.0561,0.859,30.4626,19.0
1.8131,-0.6873,2.6325,0.5334,38.3096,17.0
1.1205,-1.1879,2.0202,0.237,43.3534,16.0
1.2534,-0.9167,2.4582,1.0217,48.1584,25.0
0.6869,-1.1591,1.5746,0.0764,27.3546,18.0
2.0323,-2.116,2.9999,0.2747,26.8317,16.0
1.5795,-1.0227,1.6269,1.0098,50.0557,24.0
1.2534,-2.1755,2.5109,1.1681,47.3617,17.0
0.5874,-1.7714,2.1868,1.4559,39.4238,22.0
0.9783,-0.5688,2.3747,1.3608,22.7606,25.0
2.4689,-1.5766,0.9171,0.6037,36.0984,17.0
2.1025,-2.2232,0.825,0.9797,49.9647,23.0
1.9228,-1.4682,0.4616,0.1716,21.4125,22.0
0.7947,-1.6251,2.8446,0.372,33.0451,20.0
1.3298,-1.7071,1.1845,0.6099,18.2642,18.0
7.6541,-3.8041,19.0493,16.8707,16.696,19.0
1.4449,-0.8378,2.3006,0.7302,39.6139,16.0
4.0783,-7.2524,23.9838,14.1332,40.9767,19.0
0.7437,-2.0231,1.953,0.9531,17.5123,22.0
0.5329,-1.4692,0.8016,0.2582,32.1696,24.0
1.6413,-2.1254,2.0378,0.8091,29.4242,23.0
2.0728,-1.4848,0.159,1.3163,16.7414,21.0
1.0073,-2.4675,2.3867,0.55,44.3176,25.0
1.6638,-0.9866,0.4869,0.5608,28.5419,25.0
2.0583,-1.5708,2.1166,0.966,47.4599,16.0
2.3872,-2.426,0.6846,1.1971,50.4316,20.0
1.5308,-0.5218,1.6748,0.4173,45.1316,18.0
2.2243,-2.4044,2.0016,0.4462,46.9737,21.0
1.9866,-0.7107,1.2213,1.4619,34.8481,22.0
2.0946,-1.9666,0.3396,0.6655,32.2243,17.0
1.1424,-2.3399,2.0167,0.4944,39.1049,21.0
1.3878,-1.6057,2.2078,1.3718,39.5941,21.0
2.4601,-0.6042,0.3176,0.9744,29.5324,25.0
0.5623,-0.8027,2.0665,0.6854,20.0492,18.0
1.2327,-1.7343,1.745,0.9274,42.1625,20.0
2.0262,-1.3522,1.6354,0.6271,40.9824,18.0
0.5518,-2.1279,1.6015,1.3746,19.7104,19.0
0.9291,-1.2762,2.1125,1.498,23.0071,17.0
1.4041,-0.7026,1.3908,0.1773,42.2772,20.0
1.9191,-1.4,0.9421,0.4849,21.3002,25.0
1.223,-2.0515,2.9569,1.1985,24.4694,22.0
5.7701,-6.1554,21.6622,13.2747,57.0156,16.0
1.2963,-1.0661,1.4881,0.6457,31.3773,24.0
2.4448,-1.2153,1.4049,1.0362,28.7806,23.0
0.8639,-0.5675,1.3546,1.3705,17.2165,16.0
1.1082,-2.1761,2.8107,0.3769,52.8993,23.0
2.1919,-1.9988,1.9417,0.8487,20.0068,19.0
0.6869,-1.218,1.8162,0.8919,21.848,24.0
1.7103,-0.8149,1.7345,1.2466,16.1349,15.0
2.042,-1.9707,0.7113,0.8796,39.7243,15.0
1.7543,-1.9207,2.8743,0.7503,47.1875,25.0
1.4071,-1.1228,0.5584,0.6527,33.5777,20.0
1.1252,-1.0633,2.2292,1.2981,54.015,17.0
1.53,-2.2876,0.801,0.2277,32.9838,17.0
1.0804,-1.7317,1.8846,0.41,49.6123,17.0
2.3675,-1.0577,0.6505,0.281,54.8388,22.0
1.1171,-2.4536,2.8412,0.7829,53.6675,18.0
0.5973,-1.9373,1.8328,1.2721,41.9008,19.0
2.1943,-1.6381,2.6591,1.1049,45.5543,20.0
3.2558,-5.1909,14.1629,9.329,37.8397,22.0
1.0594,-0.5218,2.0732,0.2223,54.0033,21.0
2.4736,-1.3843,1.1603,0.2592,39.0985,21.0
0.5906,-2.2259,1.0658,0.7369,33.2795,24.0
0.7796,-0.6373,1.0237,0.6198,39.66,19.0
1.5146,-1.4806,1.5206,0.8662,33.9957,15.0
1.8476,-0.5402,1.7927,1.2053,44.013,25.0
5.373,-3.1646,21.3094,16.6424,54.0989,15.0
0.841,-1.2419,1.8972,1.2697,20.911,25.0
1.6451,-1.099,0.6533,0.6895,31.7512,21.0
1.3208,-0.9501,2.7695,1.3156,44.4335,15.0
1.5374,-1.3782,2.9946,0.7436,30.073,17.0
1.5663,-1.4075,2.06,1.3081,42.2298,19.0
0.8845,-2.007,1.7185,0.3761,53.9164,19.0
1.9098,-1.1195,1.5181,0.7457,37.4195,19.0
1.647,-1.4136,2.6977,0.6221,28.8054,17.0
1.0753,-1.0717,1.1045,0.6914,25.2578,22.0
2.1559,-1.9577,1.7299,0.4439,19.3691,24.0
0.6015,-0.6896,0.7544,0.3876,19.0079,20.0
0.7011,-0.9585,0.115,0.848,52.164,21.0
2.2613,-1.5486,1.9866,1.1461,26.4898,19.0
2.3159,-2.3211,1.765,0.826,43.9247,15.0
0.8501,-0.7355,0.6098,1.3835,54.8869,21.0
0.8726,-1.002,2.6296,0.4697,16.4986,19.0
0.7146,-0.534,0.9252,1.4842,36.732,22.0
0.7684,-1.4916,0.8912,1.2228,28.2274,22.0
1.9372,-2.4718,1.0776,0.4778,41.976,18.0
2.2123,-0.7059,2.4983,0.7972,18.4695,25.0
2.4634,-1.5451,2.8139,0.0599,30.343,22.0
2.4081,-1.8961,2.1964,0.0666,41.1473,18.0
0.7364,-1.8864,1.2757,0.7787,50.8047,19.0
1.7774,-0.6187,1.1659,0.3702,53.2944,22.0
1.9955,-1.2885,1.306,0.8464,33.8331,23.0
2.1512,-0.9763,2.073,0.9139,46.4948,23.0
1.9075,-2.3438,1.7361,0.1395,36.906,23.0
1.5733,-2.1709,2.578,0.6907,42.2118,24.0
2.2978,-1.609,0.2613,0.2413,31.617,24.0
1.4248,-0.8862,2.1975,0.6241,47.6581,18.0
0.5906,-1.8109,0.2849,1.4915,52.3833,16.0
1.4441,-1.9258,0.6219,0.2464,40.661,25.0
1.2489,-0.7173,1.4008,1.3798,30.0999,16.0
1.8236,-1.4214,1.9952,0.5543,22.1389,23.0
0.7547,-0.5426,2.521,1.1465,54.1396,22.0
1.5889,-1.4361,2.4877,0.4089,28.8464,19.0
2.2504,-0.969,0.1934,1.0073,39.5969,15.0
0.6346,-1.3121,1.3947,1.0244,49.8885,18.0
1.3045,-2.0313,0.7301,1.3024,17.2578,23.0
0.9683,-0.6672,1.7707,0.8873,45.9015,20.0
2.2525,-0.5286,1.6116,0.6497,26.0062,23.0
2.2594,-0.6768,1.9154,0.6694,34.8248,20.0
1.8427,-0.9284,1.0243,0.6537,20.9687,21.0
1.5759,-2.0181,0.7535,1.2934,20.7741,22.0
1.6248,-0.5644,1.7161,0.2444,24.7143,18.0
0.6581,-1.6004,1.1761,0.8267,48.1763,15.0
1.8473,-1.2942,2.6335,0.3228,45.4679,25.0
1.4588,-0.7611,1.0656,1.4377,15.6133,18.0
0.7346,-0.5009,1.4889,0.4018,39.1761,18.0
0.9787,-1.8568,0.9209,0.7261,40.9489,19.0
1.5256,-1.5054,0.386,1.4729,33.7796,20.0
1.2414,-1.6721,1.7313,0.3708,20.8369,19.0
1.6681,-1.06,0.9561,0.3345,24.2007,24.0
1.4986,-1.1908,2.0861,0.4231,47.8637,25.0
1.4217,-1.0345,1.1213,0.2529,36.8619,17.0
1.5843,-1.2164,0.2703,0.099,48.8679,25.0
3.0319,-7.3125,18.7219,6.0195,17.8375,18.0
1.2464,-1.2643,2.0336,0.944,34.3282,22.0
5.6611,-5.9433,8.2843,15.8329,50.5377,19.0
7.0658,-4.6298,21.7049,18.6466,14.0964,16.0
0.9819,-1.2604,0.832,0.5639,46.7975,16.0
1.3121,-1.37,2.9717,0.3775,42.3617,16.0
2.2164,-0.9808,0.3712,0.5999,37.1081,15.0
1.9057,-2.3346,2.5515,0.9851,28.2508,16.0
2.3383,-2.0405,2.7137,1.0538,37.6714,19.0
3.3717,-3.3721,23.2883,13.4526,7.7967,20.0
4.0358,-7.279,21.9517,17.3135,83.9544,19.0
0.9809,-0.8307,1.2286,1.35,28.2692,17.0
1.8786,-2.3431,2.2618,0.5515,18.9074,18.0
1.1812,-0.962,2.8691,0.6252,45.9422,15.0
2.0671,-1.5989,0.7616,0.8519,30.0171,17.0
1.8213,-2.3286,1.894,1.2072,43.5243,16.0
1.26,-0.9322,0.5474,0.615,29.428,16.0
4.5413,-6.2004,12.586,6.9876,20.9283,22.0
1.5249,-2.2934,0.3599,0.8536,38.877,20.0
0.5247,-1.6724,2.3596,1.101,37.3815,18.0
0.8392,-1.7385,0.5026,0.4866,34.725,16.0
1.0519,-1.9005,2.3697,0.5736,52.7689,25.0
1.7333,-1.5843,0.4929,0.0598,30.8277,24.0
2.2244,-1.6196,1.3488,1.2441,41.0415,24.0
1.1413,-0.6054,0.6825,0.5056,53.583,20.0
1.8899,-1.518,1.77,0.4015,30.0422,21.0
2.3641,-2.1004,2.9921,0.3109,45.7047,15.0
1.4232,-1.0833,1.3715,0.4724,42.7134,21.0
0.7784,-1.8943,0.8328,0.2735,31.9251,21.0
2.4814,-1.5415,1.2623,0.7846,51.8157,21.0
2.0814,-1.7809,2.697,0.8285,40.5272,16.0
0.9965,-1.1706,0.5824,0.9384,37.5288,25.0
1.2992,-0.9946,2.9006,0.6742,15.4219,19.0
1.9937,-1.384,2.0942,0.3705,29.9648,22.0
1.6772,-1.4991,1.1004,0.0856,19.182,21.0
0.6717,-0.8374,2.2174,0.5551,28.7227,18.0
1.1966,-2.3048,2.1938,0.706,17.687,15.0
0.7302,-0.8016,1.9791,1.0319,21.5742,18.0
1.6038,-1.838,1.3365,0.72,46.9102,25.0
1.781,-1.6357,0.1847,0.9405,22.893,24.0
0.5089,-2.0704,0.9072,1.0705,46.8403,24.0
2.244,-2.1261,1.0454,0.7134,25.4941,22.0
1.7782,-1.3061,1.8728,0.9012,28.917,22.0
2.1275,-1.088,0.9626,0.941,18.3901,17.0
0.9771,-2.2661,1.1826,0.255,30.5385,24.0
1.2674,-2.1285,1.943,1.0555,40.8104,17.0
1.4793,-2.2194,1.0123,0.704,17.1445,20.0
1.4692,-2.1097,1.2134,0.8643,41.1228,21.0
1.3313,-0.8202,1.5172,0.1699,16.2344,18.0
1.0497,-1.4248,0.5878,0.7131,44.7007,22.0
0.7264,-2.2716,2.3478,1.2438,29.6745,15.0
1.3827,-2.0629,1.3329,1.1172,41.1469,18.0
2.4986,-1.6005,1.1109,1.2343,32.5628,16.0
0.9739,-0.8786,1.805,0.5584,43.4302,25.0
1.7323,-0.9303,2.4592,1.2179,37.803,23.0
1.5775,-1.8527,2.1418,0.4695,25.6937,23.0
1.8586,-2.3095,2.892,1.1893,51.7507,19.0
0.7538,-0.7678,0.8241,1.0815,48.1393,25.0
0.7843,-1.2352,1.9207,0.594,18.0207,16.0
1.9996,-1.1106,2.6442,0.7093,34.5218,24.0
6.8707,-4.3364,20.4258,11.8767,61.4522,20.0
2.0914,-1.7046,2.9076,1.246,34.7886,20.0
1.1755,-1.3441,1.7418,0.7537,28.7496,25.0
0.5919,-1.2476,2.5264,0.0736,52.1773,17.0
0.5014,-0.5839,0.6867,1.0485,20.2765,25.0
2.2488,-0.7468,0.3707,0.5726,18.2968,25.0
0.8311,-1.7073,0.986,1.0642,24.3658,25.0
0.6904,-2.0732,0.326,0.9108,35.7778,22.0
6.478,-3.9145,24.7986,11.3347,16.2349,16.0
0.6787,-0.8881,0.3993,0.583,26.9702,21.0
2.0063,-2.2337,2.9795,0.2571,36.2203,15.0
0.8282,-1.7976,0.7179,1.135,51.7958,24.0
2.2199,-2.3266,0.3913,1.141,38.583,21.0
1.3588,-0.9178,0.8186,0.9847,24.9267,24.0
1.7152,-0.9421,2.1024,1.2794,41.3362,19.0
1.7139,-2.1227,1.2361,0.9869,46.3521,18.0
0.7255,-1.5008,1.8224,0.816,54.1079,20.0
0.764,-0.7784,1.7483,0.5798,42.3177,22.0
2.0407,-2.4666,0.2958,0.4302,16.5931,15.0
1.296,-1.927,2.1666,1.1623,31.943,21.0
1.5731,-1.2679,0.9047,0.4994,35.4522,18.0
0.8108,-1.8465,1.8007,1.1567,40.9936,25.0
1.8974,-1.0401,2.5548,0.134,18.4485,21.0
1.7246,-2.3899,2.0316,1.0042,22.0258,15.0
1.903,-2.1723,2.8637,0.8084,46.3195,19.0
0.7539,-0.9378,0.8794,1.3353,45.8572,15.0
1.3586,-1.4523,0.8626,1.4638,40.1013,22.0
1.2202,-1.5008,1.744,0.5831,25.2046,16.0
1.8482,-2.2693,2.2483,0.0537,49.3476,15.0
1.4435,-1.734,0.5352,1.4002,49.2994,23.0
1.928,-1.1886,0.7511,0.41,51.6342,20.0
0.6558,-1.7544,1.5559,1.3578,22.1738,23.0
2.4082,-2.3621,1.4488,0.4593,48.7939,20.0
1.4135,-1.7622,0.9456,1.1875,44.583,18.0
1.6834,-1.5133,2.3406,0.3334,51.0177,18.0
2.3648,-2.4522,1.6705,0.9721,42.7384,15.0
0.5029,-1.1854,2.5621,1.1045,19.158,23.0
1.3396,-0.5776,2.9204,0.2564,26.193,15.0
2.2946,-1.4605,2.1325,0.5901,53.9822,16.0
1.5109,-1.2256,1.2436,0.9082,17.4913,25.0
0.9735,-1.978,1.0135,1.2112,43.029,20.0
1.0439,-2.3506,0.6879,1.1809,38.3883,17.0
1.3991,-1.8719,0.4501,0.5695,45.8135,22.0
1.03,-2.2602,0.5571,1.0448,48.0555,24.0
7.1796,-6.361,9.5506,8.7233,35.2381,23.0
4.4942,-3.8996,10.9558,19.2814,77.6411,23.0
0.9997,-1.5759,2.4313,0.2527,15.4783,18.0
2.1473,-1.7555,1.9279,0.9848,38.293,19.0
0.65,-0.5057,0.6735,0.9867,47.3719,16.0
2.1587,-1.8369,0.2238,0.7184,21.7196,24.0
1.9489,-1.5077,1.2099,0.6687,29.1577,17.0
1.392,-2.2027,1.8809,0.9446,40.8911,22.0
1.6014,-2.378,0.9114,0.249,22.9783,23.0
2.4882,-1.4127,0.1566,0.6046,43.5348,22.0
1.4694,-0.6746,1.5569,0.6132,22.1926,20.0
0.5586,-0.8786,0.9147,1.2225,33.8674,20.0
2.4992,-0.552,0.3904,1.0025,25.6611,15.0
2.3956,-1.3486,2.9497,0.6132,52.4082,17.0
1.685,-0.8876,2.1231,1.3753,16.1283,20.0
1.6272,-1.3738,0.6459,1.4826,50.2651,22.0
0.8511,-2.4241,0.2629,0.9224,15.7971,22.0
7.5895,-6.9927,10.2183,15.7541,83.0964,20.0
0.7954,-1.0906,0.5108,0.2108,36.0518,20.0
1.2472,-0.6162,1.2472,0.1965,27.0706,17.0
1.9647,-1.6263,1.9539,0.7564,27.6913,23.0
2.3577,-0.926,0.7474,0.904,22.0141,19.0
1.089,-2.1446,0.1052,1.0679,37.9134,24.0
6.0119,-3.3948,24.448,8.3134,53.0718,22.0
1.9907,-2.024,2.9489,0.2934,50.4128,16.0
1.84,-1.0414,1.0737,0.0665,23.3874,16.0
2.074,-1.0592,0.2396,0.6854,31.7861,17.0
1.4862,-1.7426,1.6835,0.1971,34.1796,24.0
1.8743,-2.1747,0.3138,1.2764,26.7963,20.0
0.7095,-1.8164,2.675,0.2833,18.0001,16.0
2.4706,-0.7135,2.1431,0.6754,41.1454,24.0
0.8142,-2.2975,0.6961,0.3255,42.8879,23.0
1.063,-2.0249,0.2439,0.8791,48.5942,17.0
0.5076,-2.3247,2.4893,0.9564,34.2131,16.0
3.8542,-6.5409,9.3929,17.6565,31.21,21.0
2.2898,-1.97,1.9614,0.6119,29.8408,21.0
1.3916,-1.9734,1.4487,0.3781,25.7425,15.0
1.8929,-2.3066,2.0376,1.2219,31.5595,24.0
0.622,-1.7258,1.6155,1.4502,42.4827,22.0
0.9713,-1.9023,1.2449,1.2882,16.3891,24.0
2.1009,-1.1449,1.8988,0.2244,45.2876,17.0
0.8343,-2.0762,0.6589,0.1119,18.1347,25.0
2.4945,-1.2455,2.5189,0.4239,51.4322,16.0
1.6127,-1.3959,2.5842,0.8035,51.6865,15.0
1.7461,-1.4549,1.3168,0.6509,20.928,24.0
2.4297,-2.2996,0.4063,1.1803,46.4298,23.0
2.2558,-1.9717,1.9989,0.8794,33.9219,17.0
0.7877,-1.2827,2.1116,0.1062,50.583,20.0
0.5986,-1.5496,0.8789,0.59,28.5146,19.0
2.1857,-0.7835,2.0861,1.4601,24.1183,19.0
1.3862,-0.8484,0.8813,0.6543,40.8222,18.0
2.3269,-1.6857,1.5049,0.7989,29.9564,15.0
0.8179,-1.8778,1.5697,0.2467,49.0518,24.0
3.9638,-3.8354,22.2286,8.7424,43.7981,20.0
1.048,-0.853,1.5649,0.9713,19.9549,15.0
